description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"NEVER BLEND IN.
The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans.",3.8,39K,196K,33K,138 FANS,Gus Van Sant,milk-2008
"BEHIND THE MYSTERY LIES A TRUTH THAT WILL MAKE YOU QUESTION EVERYTHING YOU KNOW.
The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.",3.6,30K,209K,37K,940 FANS,Stephen Daldry,the-reader-2008
"YOU DON’T HAVE TO BE A HERO TO DO THIS JOB. BUT IT HELPS.
During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",3.8,92K,474K,87K,504 FANS,Kathryn Bigelow,the-hurt-locker-2009
"ENTER THE WORLD OF PANDORA.
In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",3.7,226K,3.8M,871K,31K FANS,James Cameron,avatar-2009
"BASED ON THE EXTRAORDINARY TRUE STORY
The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",3.4,54K,790K,112K,2.1K FANS,John Lee Hancock,the-blind-side-2009
"YOU ARE NOT WELCOME HERE.
Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens’ welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",3.8,93K,806K,192K,3.1K FANS,Neill Blomkamp,district-9-2009
"AN EDUCATION ISN’T ALWAYS BY THE BOOK.
Despite her sheltered upbringing, Jenny is a teen with a bright future; she’s smart, pretty, and has aspirations of attending Oxford University. When David, a charming but much older suitor, motors into her life in a shiny automobile, Jenny gets a taste of adult life that she won’t soon forget.",3.5,30K,146K,24K,493 FANS,Lone Scherfig,an-education-2009
"ONCE UPON A TIME IN NAZI OCCUPIED FRANCE…
In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as “The Basterds” are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",4.4,511K,4.1M,1.7M,96K FANS,Quentin Tarantino,inglourious-basterds-2009
"In Harlem in 1987, Claireece “Precious” Jones is a 16-year-old African American girl born into a life no one would want. She’s pregnant for the second time by her absent father, and at home she must wait hand and foot on her mother, an angry woman who abuses her emotionally and physically. School is chaotic and Precious has reached the ninth grade with good marks and a secret – she can’t read.",3.7,37K,213K,41K,1.1K FANS,Lee Daniels,precious-based-on-the-novel-push-by-sapphire-2009
"ACCEPT MYSTERY.
It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.",3.9,83K,303K,79K,2.6K FANS,"Joel Coen, Ethan Coen",a-serious-man-2009
"THE GREATEST ADVENTURE IS JUST GETTING BACK HOME.
Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",4.1,305K,4.6M,1.3M,11K FANS,Pete Docter,up-2009
"THE STORY OF A MAN READY TO MAKE A CONNECTION.
Corporate downsizing expert Ryan Bingham spends his life in planes, airports, and hotels, but just as he’s about to reach a milestone of ten million frequent flyer miles, he meets a woman who causes him to rethink his transient life.",3.6,38K,305K,50K,613 FANS,Jason Reitman,up-in-the-air-2009
"FIND YOUR VOICE.
The King’s Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George (‘Bertie’) reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly …more",3.8,89K,803K,153K,1.5K FANS,Tom Hooper,the-kings-speech-2010
"THE PRESSURE OF PERFECTION.
The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter’s professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice.",4.2,491K,3.6M,1.4M,115K FANS,Darren Aronofsky,black-swan-2010
"EVERY DREAM DESERVES A FIGHTING CHANCE.
Boxer “Irish” Micky Ward’s unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO’d by drugs and crime.",3.8,54K,375K,75K,431 FANS,David O. Russell,the-fighter-2010
"YOUR MIND IS THE SCENE OF THE CRIME.
Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: “inception”, the implantation of another person’s idea into a target’s subconscious.",4.2,539K,5M,2M,96K FANS,Christopher Nolan,inception-2010
"NIC AND JULES HAD THE PERFECT FAMILY, UNTIL THEY MET THE MAN WHO MADE IT ALL POSSIBLE.
Two women, Nic and Jules, brought a son and daughter into the world through artificial insemination. When one of their children reaches age, both kids go behind their mothers’ backs to meet with the donor. Life becomes so much more interesting when the father, two mothers and children start to become attached to each other.",3.3,28K,140K,17K,48 FANS,Lisa Cholodenko,the-kids-are-all-right-2010
"EVERY SECOND COUNTS.
The true story of mountain climber Aron Ralston’s remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.",3.5,63K,737K,109K,509 FANS,Danny Boyle,127-hours-2010
"YOU DON’T GET TO 500 MILLION FRIENDS WITHOUT MAKING A FEW ENEMIES.
In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",3.9,378K,3.6M,1.1M,42K FANS,David Fincher,the-social-network-2010
"NO TOY GETS LEFT BEHIND.
Woody, Buzz, and the rest of Andy’s toys haven’t been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",4.0,251K,2.8M,596K,7K FANS,Lee Unkrich,toy-story-3-2010
"PUNISHMENT COMES ONE WAY OR ANOTHER.
Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with ‘true grit’—Reuben J. ‘Rooster’ Cogburn.",3.8,97K,531K,119K,1.1K FANS,"Joel Coen, Ethan Coen",true-grit-2010
"TALKING JUST CAUSES WITNESSES.
After discovering her father put their house up for his bail bond and then disappeared, 17-year-old Ree Dolly must confront the local criminal underworld and the harsh Ozark wilderness in order to to track down her father and save her family.",3.5,35K,166K,25K,175 FANS,Debra Granik,winters-bone-2010
"A BREATH OF FRESH VINTAGE AIR
Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",3.8,69K,281K,53K,630 FANS,Michel Hazanavicius,the-artist-2011
"THE SOUTH PACIFIC AIN’T THAT TERRIFIC.
With his wife Elizabeth on life support after a boating accident, Hawaiian land baron Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune.",3.6,38K,223K,37K,519 FANS,Alexander Payne,the-descendants-2011
"THIS IS NOT A STORY ABOUT SEPTEMBER 11TH, IT’S A STORY ABOUT EVERY DAY AFTER.
A year after his father’s death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.",3.1,16K,99K,11K,206 FANS,Stephen Daldry,extremely-loud-incredibly-close-2011
"CHANGE BEGINS WITH A WHISPER.
Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family’s struggles with money and her desperate need for jobs; and Eugenia “Skeeter” Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. …more",3.9,87K,994K,244K,6.9K FANS,Tate Taylor,the-help-2011
"UNLOCK THE SECRET.
Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo’s job is to oil and maintain the station’s clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",3.5,104K,870K,139K,1.8K FANS,Martin Scorsese,hugo-2011
"While on a trip to Paris with his fiancée’s family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",3.7,146K,1.2M,314K,14K FANS,Woody Allen,midnight-in-paris-2011
"WHAT ARE YOU REALLY WORTH?
The story of Oakland Athletics general manager Billy Beane’s successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",3.9,119K,996K,253K,11K FANS,Bennett Miller,moneyball-2011
"NOTHING STANDS STILL.
The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",3.8,146K,407K,108K,9K FANS,Terrence Malick,the-tree-of-life-2011
"SEPARATED BY WAR. TESTED BY BATTLE. BOUND BY FRIENDSHIP.
On the brink of the First World War, Albert’s beloved horse Joey is sold to the Cavalry by his father. Against the backdrop of the Great War, Joey begins an odyssey full of danger, joy, and sorrow, and he transforms everyone he meets along the way. Meanwhile, Albert, unable to forget his equine friend, searches the battlefields of France to find Joey and bring him home.",3.4,44K,239K,33K,704 FANS,Steven Spielberg,war-horse-2011
"THE MOVIE WAS FAKE. THE MISSION WAS REAL.
As the Iranian revolution reaches a boiling point, a CIA ‘exfiltration’ specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",3.7,91K,708K,135K,1.1K FANS,Ben Affleck,argo-2012
"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple’s bond of love is severely tested.",4.2,79K,200K,57K,2K FANS,Michael Haneke,amour-2012
"I GOTTA TAKE CARE OF MINE.
Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink, in ‘the Bathtub’, a southern Delta community at the edge of the world. Wink’s tough love prepares her for the unraveling of the universe—for a time when he’s no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack—temperatures rise and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, …more",3.8,35K,116K,25K,931 FANS,Benh Zeitlin,beasts-of-the-southern-wild-2012
"LIFE, LIBERTY, AND THE PURSUIT OF VENGEANCE.
With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",4.3,431K,3.9M,1.5M,68K FANS,Quentin Tarantino,django-unchained-2012
"TAKE THE JOURNEY OF A LIFETIME.
The story of an Indian boy named Pi, a zookeeper’s son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",3.7,111K,1.6M,308K,5.7K FANS,Ang Lee,life-of-pi-2012
"The revealing story of the 16th US President’s tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",3.6,72K,353K,56K,474 FANS,Steven Spielberg,lincoln-2012
"FIGHT. DREAM. HOPE. LOVE.
An adaptation of the successful stage musical based on Victor Hugo’s classic novel set in 19th-century France. Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men’s lives, and soon Valjean finds himself in the midst of the student revolutions in France.",3.6,97K,800K,162K,6.4K FANS,Tom Hooper,les-miserables-2012
"WATCH FOR THE SIGNS.
After losing his job and wife, and spending time in an institution, a former teacher winds up living with his parents. He wants to rebuild his life and reconcile with his wife, but his father would be happy if he shared his obsession with the Philadelphia Eagles. Things get complicated when he meets Tiffany Maxwell who offers to help him reconnect with his wife if he will do something very important for her in exchange.",3.7,147K,1.5M,352K,12K FANS,David O. Russell,silver-linings-playbook-2012
"THE GREATEST MANHUNT IN HISTORY.
A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",3.7,63K,392K,69K,633 FANS,Kathryn Bigelow,zero-dark-thirty-2012
"THE EXTRAORDINARY TRUE STORY OF SOLOMON NORTHUP.
In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",4.2,146K,1.1M,236K,1.5K FANS,Steve McQueen,12-years-a-slave-2013
"EVERYONE HUSTLES TO SURVIVE.
A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",3.3,62K,658K,96K,404 FANS,David O. Russell,american-hustle-2013
"OUT HERE SURVIVAL IS EVERYTHING.
The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",3.8,54K,560K,101K,679 FANS,Paul Greengrass,captain-phillips-2013
"DARE TO LIVE.
Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",4.0,85K,878K,214K,2.8K FANS,Jean-Marc Vallée,dallas-buyers-club-2013
"DON’T LET GO.
Dr. Ryan Stone, a brilliant medical engineer, is on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance …more",3.5,129K,1.4M,255K,1.6K FANS,Alfonso Cuarón,gravity-2013
"A SPIKE JONZE LOVE STORY.
In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user’s every need. To Theodore’s surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",4.0,351K,2.8M,985K,44K FANS,Spike Jonze,her-2013
"LIFE’S NOT ABOUT WINNING OR LOSING. IT’S ABOUT HOW YOU GET THERE IN THE END.
An aging, booze-addled father takes a trip from Montana to Nebraska with his estranged son in order to claim what he believes to be a million-dollar sweepstakes prize.",4.0,42K,154K,38K,615 FANS,Alexander Payne,nebraska-2013
"THESE TWO UNLIKELY COMPANIONS ARE ON A JOURNEY TO FIND HER LONG LOST SON.
A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",3.7,20K,90K,15K,97 FANS,Stephen Frears,philomena-2013
"EARN. SPEND. PARTY.
A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort’s autobiography.",4.0,394K,4.8M,1.6M,41K FANS,Martin Scorsese,the-wolf-of-wall-street-2013
"HOW DID WE END UP HERE?
A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",4.0,213K,1.6M,475K,14K FANS,Alejandro González Iñárritu,birdman-or-the-unexpected-virtue-of-ignorance-2014
"THE MOST LETHAL SNIPER IN U.S. HISTORY.
U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot …more",3.4,69K,799K,129K,1.9K FANS,Clint Eastwood,american-sniper-2014
"12 YEARS IN THE MAKING.
The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",3.8,164K,915K,234K,8.5K FANS,Richard Linklater,boyhood-2014
"A MURDER CASE OF MADAM D. WITH ENORMOUS WEALTH AND THE MOST OUTRAGEOUS EVENTS SURROUNDING HER SUDDEN DEATH!
The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",4.2,502K,3.7M,1.5M,88K FANS,Wes Anderson,the-grand-budapest-hotel-2014
"THE TRUE ENIGMA WAS THE MAN WHO CRACKED THE CODE.
Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain’s top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",3.8,114K,1.7M,396K,6.6K FANS,Morten Tyldum,the-imitation-game-2014
"Selma has just graduated from high school and contemplates her future. Ouaffae, her mother, wants to get a divorce. Both mother and daughter have important choices to make.",,7,9,1,,Batoul Benazzou,selma-2014
"HIS MIND CHANGED OUR WORLD. HER LOVE CHANGED HIS.
The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",3.6,80K,1.1M,207K,3.5K FANS,James Marsh,the-theory-of-everything-2014
"THE ROAD TO GREATNESS CAN TAKE YOU TO THE EDGE.
Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",4.4,552K,4.6M,2.2M,186K FANS,Damien Chazelle,whiplash-2014
"BREAK THE STORY. BREAK THE SILENCE.
The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",4.1,131K,831K,218K,4.9K FANS,Tom McCarthy,spotlight-2015
"THIS IS A TRUE STORY.
The men who made millions from a global economic meltdown.",3.8,127K,1.4M,342K,8K FANS,Adam McKay,the-big-short-2015
"IN THE SHADOW OF WAR, ONE MAN SHOWED THE WORLD WHAT WE STOOD FOR.
During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers’ only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man’s freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",3.6,61K,341K,57K,195 FANS,Steven Spielberg,bridge-of-spies-2015
"Coralie runs away from Switzerland. She arrives in Paris to take her chance into Hip Hop music. She’s hired as a cook in a local association in the parisian suburb of Saint-Denis. Coralie meets Issa, the rising star of the hood…",,77,172,21,,Pascal Tessaud,brooklyn-2015
"THE FUTURE BELONGS TO THE MAD.
An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",4.2,372K,2.8M,1M,43K FANS,George Miller,mad-max-fury-road-2015
"A little boy pulls out one Martian toy from a vending machine and it turns into a real alien who takes him to his planet, where he is surronded by the toys from the vending machine, but much bigger.",,208,398,43,2 FANS,Nils Skapāns,the-martian-2015
"BLOOD LOST. LIFE FOUND.
In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",3.9,172K,1.9M,458K,6.8K FANS,Alejandro González Iñárritu,the-revenant-2015
"LOVE KNOWS NO BOUNDARIES
Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",4.0,130K,1.2M,300K,2.8K FANS,Lenny Abrahamson,room-2015
"THIS IS THE STORY OF A LIFETIME
The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",4.2,356K,1.8M,669K,40K FANS,Barry Jenkins,moonlight-2016
"WHY ARE THEY HERE?
Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",4.1,386K,3M,1.1M,71K FANS,Denis Villeneuve,arrival-2016
"SOME PEOPLE BUILD FENCES TO KEEP PEOPLE OUT, AND OTHER PEOPLE BUILD FENCES TO KEEP PEOPLE IN.
In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",3.6,36K,179K,35K,462 FANS,Denzel Washington,fences-2016
"ONE OF THE GREATEST HEROES IN AMERICAN HISTORY NEVER FIRED A BULLET.
WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",4.0,144K,1.2M,358K,20K FANS,Mel Gibson,hacksaw-ridge-2016
"A film about a young pastor loved and adored by the people around him. Things change for him when he has to confront a hidden truth about himself, a truth that could make or break him psychologically. Whatever decision he makes, he is still going to crash and burn, for life as he once knew it will never be the same again.",,21,36,4,,Asurf Oluseyi,hell-or-high-water-2016
"MEET THE WOMEN YOU DON’T KNOW, BEHIND THE MISSION YOU DO.
The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",3.9,83K,980K,246K,4K FANS,Theodore Melfi,hidden-figures-2016
"HERE’S TO THE FOOLS WHO DREAM.
Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",4.1,704K,5.1M,2.3M,318K FANS,Damien Chazelle,la-la-land-2016
"THE SEARCH BEGINS
A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",3.9,64K,546K,128K,2.7K FANS,Garth Davis,lion-2016
"I CAN’T BEAT IT.
After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",4.1,191K,1.2M,383K,28K FANS,Kenneth Lonergan,manchester-by-the-sea-2016
"A FAIRY TALE FOR TROUBLED TIMES
An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",3.7,196K,1.4M,383K,8.6K FANS,Guillermo del Toro,the-shape-of-water-2017
"IS IT BETTER TO SPEAK OR DIE?
In the summer of 1983, a 17-year-old Elio spends his days in his family’s villa in Italy. One day Oliver, a graduate student, arrives to assist Elio’s father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever.",3.9,455K,3.4M,1.3M,140K FANS,Luca Guadagnino,call-me-by-your-name-2017
"NEVER NEVER NEVER SURRENDER
In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler or fight on knowing that it could mean the end of the British Empire.",3.5,49K,349K,60K,560 FANS,Joe Wright,darkest-hour-2017
"WHEN 400,000 MEN COULDN’T GET HOME, HOME CAME FOR THEM.
The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",3.8,289K,2.5M,663K,5.6K FANS,Christopher Nolan,dunkirk-2017
"JUST BECAUSE YOU’RE INVITED, DOESN’T MEAN YOU’RE WELCOME.
Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family’s overly accommodating behavior as nervous attempts to deal with their daughter’s interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",4.1,522K,5.1M,2.1M,40K FANS,Jordan Peele,get-out-2017
"FLY AWAY HOME.
Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",3.8,496K,3.7M,1.4M,82K FANS,Greta Gerwig,lady-bird-2017
"In 1950s London, a renowned dressmaker’s meticulous lifestyle begins drastically changing as his relationship with his young muse intensifies.",4.2,230K,725K,251K,20K FANS,Paul Thomas Anderson,phantom-thread-2017
"TRUTH BE TOLD
A cover-up that spanned four U.S. Presidents pushed the country’s first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.",3.5,64K,338K,55K,190 FANS,Steven Spielberg,the-post-2017
"After seven months have passed without a culprit in her daughter’s murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town’s revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother’s boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing’s law enforcement is only exacerbated.",4.1,150K,1.1M,328K,7.5K FANS,Martin McDonagh,three-billboards-outside-ebbing-missouri-2017
"INSPIRED BY A TRUE FRIENDSHIP.
Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",3.8,141K,1.3M,364K,11K FANS,Peter Farrelly,green-book-2018
"LONG LIVE THE KING.
King T’Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country’s new leader. However, T’Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T’Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan …more",3.7,372K,4M,1.2M,7K FANS,Ryan Coogler,black-panther-2018
"INFILTRATE HATE.
Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan.",3.9,161K,1.5M,453K,3.5K FANS,Spike Lee,blackkklansman-2018
"FEARLESS LIVES FOREVER.
Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock ’n’ roll band Queen in 1970. Hit songs become instant classics. When Mercury’s increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",3.5,150K,2.5M,619K,8.9K FANS,Bryan Singer,bohemian-rhapsody-2018
"England, early 18th century. The close relationship between Queen Anne and Sarah Churchill is threatened by the arrival of Sarah’s cousin, Abigail Hill, resulting in a bitter rivalry between the two cousins to be the Queen’s favourite.",4.0,222K,1.2M,365K,8K FANS,Yorgos Lanthimos,the-favourite-2018
"THERE ARE PERIODS IN HISTORY THAT SCAR SOCIETIES AND MOMENTS IN LIFE THAT TRANSFORM US AS INDIVIDUALS.
In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.",4.1,152K,657K,192K,4.6K FANS,Alfonso Cuarón,roma-2018
